company_name,company_email,source_site,source_url,contact_page,phone,website,country_guess,buyer_signal
Saipro Industries Private Limited,yashoda@saipro.co.in,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-7703758248.html,https://www.indiamart.com/proddetail/potato-starch-powder-7703758248.html#abt,+91-7949344420,https://www.saiprobiotech.co.in/,India,potato-processor
BS Foods,,IndiaMART,https://www.indiamart.com/proddetail/potato-farm-fresh-2859012207733.html,"https://www.indiamart.com/kwin-business/?pos=1&pid=2855834510248&c_id=101&mid=114136&pn=A Grade Fresh Potato Vegetable, 10kg",+91-7942614854,https://www.bsfoods.net/,India,distributor/wholesaler; potato-processor
Mithuna Foods,,IndiaMART,https://www.indiamart.com/proddetail/a-grade-fresh-potato-2853452556091.html,https://www.indiamart.com/proddetail/a-grade-fresh-potato-2853452556091.html#abt,+91-8047631629,https://www.mithunafoods.in/,India,distributor/wholesaler; potato-processor
Kapadiya Expo Company,,IndiaMART,https://www.indiamart.com/proddetail/fresh-potato-vegetable-2852989540373.html,"https://www.indiamart.com/pyramid-trading-company/?pos=2&pid=22142446148&c_id=101&mid=114136&pn=Fresh A Grade POTATO, 20 Kg",+91-8043852218,https://www.kapadiyaexpocompany.in/,India,buyer/importer; distributor/wholesaler; potato-processor
Rana'S Kingdom,,IndiaMART,https://www.indiamart.com/proddetail/fresh-potato-domestic-grade-2856638133555.html,https://www.indiamart.com/om-sai-trading-company-agra/?pos=2&pid=2854015218197&c_id=101&mid=114136&pn=Fresh Potato,+91-8047633811,https://www.ranaskingdomindia.com/,India,buyer/importer; distributor/wholesaler; potato-processor
Kesco Organics Exports,,IndiaMART,https://www.indiamart.com/proddetail/fresh-potatoes-2987640330.html,"https://www.indiamart.com/ushainternational-tradingandcompany/?pos=2&pid=20429450162&c_id=101&mid=114136&pn=Fresh Potatoes, Packaging Type: Plastic and Jute Bag",+91-8047305415,https://www.moringadrumstickseeds.com/,India,buyer/importer; distributor/wholesaler; potato-processor
Gayatri Traders,,IndiaMART,https://www.indiamart.com/proddetail/fresh-chipsona-potato-2849755281897.html,"https://www.indiamart.com/9stepandcompany/?pos=1&pid=2850262178388&c_id=101&mid=114136&pn=Brown A Grade Chipsona Potato, Gunny Bag, Packaging Size: 50",+91-8048209423,https://www.gayatritradersindia.com/,India,distributor/wholesaler; potato-processor
Pranika Enterprises,,IndiaMART,https://www.indiamart.com/proddetail/3797-a-grade-white-potato-2855235665362.html,https://www.indiamart.com/proddetail/3797-a-grade-white-potato-2855235665362.html#abt,+91-7949308850,https://www.pranikaenterprises.net/,India,distributor/wholesaler
Vaishnavi Foods,,IndiaMART,https://www.indiamart.com/company/263911704/,https://www.indiamart.com/company/263911704/products.html,996-2026,https://itunes.apple.com/us/app/indiamart-buy-sell-products/id668561641?mt=8,India,potato-processor
Ramakrishna Bording House,,IndiaMART,https://www.indiamart.com/company/140631694/,https://www.indiamart.com/company/140631694/products.html,07101000,https://itunes.apple.com/us/app/indiamart-buy-sell-products/id668561641?mt=8,India,potato-processor
Angel Starch And Food Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-food-grade-10370539388.html,"https://www.indiamart.com/thirthrajconsolidated/?pos=3&pid=21623299991&c_id=3&mid=35492&pn=Indian Potato Starch Powder, For Food, Packaging Size: 25 Kg",+91-8047695491,https://www.angelstarchandfood.com/,India,distributor/wholesaler; potato-processor
Triveni Chemicals,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-9005-25-8-2858832492562.html,https://www.indiamart.com/proddetail/potato-starch-9005-25-8-2858832492562.html#abt,(9005-25-8,https://www.trivenichemicals.com/,India,distributor/wholesaler; potato-processor
Shreeji Pharma International,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-20842896091.html,https://www.indiamart.com/proddetail/potato-starch-powder-20842896091.html#abt,+91-8047834508,https://www.shreejipharma.net/,India,distributor/wholesaler; potato-processor
Ram Shree Chemicals,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-15399783430.html,https://www.indiamart.com/proddetail/potato-starch-powder-15399783430.html#abt,+91-8047780257,https://www.ramshreechemical.com/,India,potato-processor
Leeza Exim Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-2856638339912.html,https://www.indiamart.com/proddetail/potato-starch-powder-2856638339912.html#abt,+91-8048210282,https://www.leezaexim.in/,India,distributor/wholesaler; potato-processor
Powder Pack Chem,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-9628781112.html,https://www.indiamart.com/proddetail/potato-starch-powder-9628781112.html#abt,+91-8043818226,https://www.powderpackchem.net/,India,potato-processor
Cynor Laboratories,,IndiaMART,https://www.indiamart.com/proddetail/starch-potato-potato-starch-1-kg-2853891028691.html,https://www.indiamart.com/xeways/?pos=2&pid=10785891233&c_id=3&mid=35492&pn=Wheat Starch Potato Starch Corn Starch Arrow Root Starch Tapioca Starch Potato flacks,+91-8047849265,https://www.cynorlaboratories.com/,India,distributor/wholesaler; potato-processor
Zama Chemical,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-12389745291.html,https://www.indiamart.com/proddetail/potato-starch-powder-12389745291.html#abt,+91-8047768605,https://www.zamachemicals.in/,India,buyer/importer; potato-processor
Chemtech Marketing,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-2853416654312.html,https://www.indiamart.com/proddetail/potato-starch-powder-2853416654312.html#abt,+91-7942842731,https://www.chemtechmarketing.com/,India,distributor/wholesaler; potato-processor
A M Nutratech Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-2858875890730.html,https://www.indiamart.com/proddetail/potato-starch-powder-2858875890730.html#abt,+91-7942670120,https://www.amnutratech.in/,India,potato-processor
Sha Narendra And Sons,,IndiaMART,https://www.indiamart.com/proddetail/modified-potato-starch-2856863200730.html,"https://www.indiamart.com/focustradingcompany/?pos=6&pid=3865014730&c_id=3&mid=35492&pn=Starch Potato, Corn, Tapioca",+91-8047630452,https://www.snschem.in/,India,buyer/importer; distributor/wholesaler; potato-processor
Devson Impex Private Limited (Head Office),,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-native-2853135913773.html,https://www.indiamart.com/proddetail/potato-starch-native-2853135913773.html#abt,+91-8047803317,https://www.devson.in/,India,buyer/importer; distributor/wholesaler; potato-processor
Shubham Starch Chem Pvt. Ltd.,,IndiaMART,https://www.indiamart.com/proddetail/white-potato-starch-3784278312.html,https://www.indiamart.com/proddetail/white-potato-starch-3784278312.html#abt,+91-8047691392,https://www.shubhamstarchchemicals.com/,India,potato-processor
Classic Industries,,IndiaMART,https://www.indiamart.com/proddetail/shoestring-french-fries-2856236277088.html,https://www.indiamart.com/proddetail/shoestring-french-fries-2856236277088.html#abt,+91-7949366780,https://www.classic-enterprise.in/,India,potato-processor
S.s. Enterprises,,IndiaMART,https://www.indiamart.com/proddetail/french-fries-mccain9mm-2-5kg-2850623738633.html,https://www.indiamart.com/proddetail/french-fries-mccain9mm-2-5kg-2850623738633.html#abt,+91-7942546842,https://www.ssenterprisesfoods.com/,India,distributor/wholesaler; potato-processor
SMB Trading,,IndiaMART,https://www.indiamart.com/proddetail/frozen-french-fries-9mm-2850490398773.html,https://www.indiamart.com/proddetail/frozen-french-fries-9mm-2850490398773.html#abt,+91-8047633302,https://www.smbtrading.in/,India,distributor/wholesaler; potato-processor
Gabriel Exim,,IndiaMART,https://www.indiamart.com/proddetail/just-crave-frozen-french-fries-2858201303491.html,https://www.indiamart.com/nn-business-innovation/?pos=4&pid=2856393178991&c_id=849&mid=28963&pn=Anjaz Frozen French Fries,+91-8043837503,https://www.gabrielexim.in/,India,distributor/wholesaler; potato-processor
Padmavathi Marketing,,IndiaMART,https://www.indiamart.com/proddetail/itc-french-fries-23906466730.html,https://www.indiamart.com/proddetail/itc-french-fries-23906466730.html#abt,+91-8047641292,https://www.padmavathimarketing.com/,India,distributor/wholesaler; potato-processor
Athirai Traders,,IndiaMART,https://www.indiamart.com/proddetail/frozen-french-fries-2851565488648.html,https://www.indiamart.com/proddetail/frozen-french-fries-2851565488648.html#abt,+91-7942840201,https://www.athiraitraders.com/,India,distributor/wholesaler; potato-processor
Food Plaza,,IndiaMART,https://www.indiamart.com/proddetail/hungritos-premium-french-fries-2856535050955.html,https://www.indiamart.com/proddetail/hungritos-premium-french-fries-2856535050955.html#abt,+91-8047687620,https://www.foodplazapune.com/,India,potato-processor
Vigneshwara Enterprises,,IndiaMART,https://www.indiamart.com/proddetail/hyfun-french-fries-straight-cut-9-mm-6mm-2-5-kg-2855863723788.html,https://www.indiamart.com/proddetail/hyfun-french-fries-straight-cut-9-mm-6mm-2-5-kg-2855863723788.html#abt,+91-8047822335,https://www.frozenfoodsdistributor.com/,India,distributor/wholesaler; potato-processor
Farmvilla Food Industries Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/dehydrated-potato-powder-7405877412.html,https://www.indiamart.com/proddetail/dehydrated-potato-powder-7405877412.html#abt,+91-8043805372,https://www.farmvillafood.com/,India,potato-processor
Ambe NS Agro Products Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/sweet-potato-powder-2852757853162.html,"https://www.indiamart.com/stm-consumers-company/?pos=2&pid=2853733831555&c_id=15&mid=35490&pn=Herbal Potato Powder, Packaging Size: 100 g",+91-8047676284,https://www.ambenatural.com/,India,distributor/wholesaler; potato-processor
Aadhikesh Exports,,IndiaMART,https://www.indiamart.com/proddetail/dehydrated-potato-powder-26191578973.html,https://www.indiamart.com/proddetail/dehydrated-potato-powder-26191578973.html#abt,+91-7942542793,https://www.aadhikeshexports.com/,India,distributor/wholesaler; potato-processor
World Of Nature,,IndiaMART,https://www.indiamart.com/proddetail/purple-sweet-potato-powder-22219627030.html,https://www.indiamart.com/proddetail/purple-sweet-potato-powder-22219627030.html#abt,+91-7942559017,https://www.worldofnature.in/,India,buyer/importer; distributor/wholesaler; potato-processor
Herbojit International Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/herbojit-dehydrated-potato-powder-2855359675797.html,https://www.indiamart.com/proddetail/herbojit-dehydrated-potato-powder-2855359675797.html#abt,+91-8043859909,https://www.herbojitinternational.com/,India,buyer/importer; distributor/wholesaler; potato-processor
James Wild Herbs,,IndiaMART,https://www.indiamart.com/proddetail/potato-powder-2855646600533.html,"https://www.indiamart.com/stm-consumers-company/?pos=6&pid=2854710627930&c_id=15&mid=35490&pn=100% Natural Potato Powder, Packaging Size: 5 Kg",+91-7942722865,https://www.jameswildherbs.com/,India,potato-processor
Pooja Traders,,IndiaMART,https://www.indiamart.com/proddetail/natural-potato-powder-2850593391488.html,https://www.indiamart.com/proddetail/natural-potato-powder-2850593391488.html#abt,+91-7949355475,https://www.poojatrader.com/,India,buyer/importer; distributor/wholesaler; potato-processor
Panama Foods,,IndiaMART,https://www.indiamart.com/proddetail/mashed-potato-powder-9849942491.html,https://www.indiamart.com/proddetail/mashed-potato-powder-9849942491.html#abt,+91-8047664388,https://www.panamafood.net/,India,distributor/wholesaler; potato-processor
R. K. Dehydration,,IndiaMART,https://www.indiamart.com/proddetail/dehydrated-potato-powder-2642205448.html,https://www.indiamart.com/proddetail/dehydrated-potato-powder-2642205448.html#abt,+91-7942868318,https://www.dehydratedfoods.co.in/,India,potato-processor
